,,,,reading,Tape 1 (cm),Tape 2 (cm),Tape 3,Tape 4,Tape 5,v_1,v_2,v_3,v_4,v_5,a_1,a_2,a_3,a_4,a_5
,,,,1.333333333,,,,,,,,,,,,,,,
,,,,1.35,,,,,,,,,,,,,,,
,,,,1.366666667,,,,,,,,,,,,,,,
,,,,1.383333333,,,,,,,,,,,,,,,
,,,,1.4,,,,,,,,,,,,,,,
,,,,1.416666667,,,,,,,,,,,,,,,
,,,,1.433333333,,,,,,,,,,,,,,,
,,,,1.45,,,,,,,,,,,,,,,
,,,,1.466666667,,,,,,,,,,,,,,,
,,,,1.483333333,,,,,,,,,,,,,,,
,,,,1.5,,,,,,,,,,,,,,,
,,,,1.516666667,,,,,,,,,,,,,,,
,,,,1.533333333,,,,,,,,,,,,,,,
,,,,1.55,,,,,,,,,,,,,,,
,,,,1.566666667,,,,,,,,,,,,,,,
,,,,1.583333333,,,,,,,,,,,,,,,
,,,,1.6,,,,,,,,,,,,,,,
,,,,1.616666667,,,,,,,,,,,,,,,
,,,,1.633333333,,,,,,,,,,,,,,,
,,,,1.65,,,,,,,,,,,,,,,
,,,,1.666666667,,,,,,,,,,,,,,,
,,,,1.683333333,,,,,,,,,,,,,,,
,,,,1.7,,,,,,,,,,,,,,,
,,,,1.716666667,,,,,,,,,,,,,,,
,,,,1.733333333,,,,,,,,,,,,,,,
,,,,1.75,,,,,,,,,,,,,,,
,,,,1.766666667,,,,,,,,,,,,,,,
,,,,1.783333333,,,,,,,,,,,,,,,
,,,,1.8,,,,,,,,,,,,,,,
,,,,1.816666667,,,,,,,,,,,,,,,
,,,,1.833333333,,,,,,,,,,,,,,,
,,,,1.85,,,,,,,,,,,,,,,
,,,,1.866666667,,,,,,,,,,,,,,,
,,,,1.883333333,,,,,,,,,,,,,,,
,,,,1.9,,,,,,,,,,,,,,,
,,,,1.916666667,,,,,,,,,,,,,,,
,,,,1.933333333,,,,,,,,,,,,,,,
,,,,1.95,,,,,,,,,,,,,,,
,,,,1.966666667,,,,,,,,,,,,,,,
